    Send    	    发送    
The REST API can be used by other tools to integrate with Burp Suite. This function exposes sensitive functionality and data, and you should read the full documentation before enabling the service.	您可以使用REST API与其他工具集成Burp Suite。此功能公开敏感的功能和数据，因此您必须在启用服务之前阅读所有手册。
The rule contains no actions.	这个规则没有动作。
The rule is not in-scope for any URLs.	此规则在所有网址范围之外。
The selected file does not appear to be a Burp project file and cannot be opened.	所选文件不会打开，因为它似乎不是Burp项目文件。
The selected file is the current Burp project. Please select another file.	所选文件是当前Burp项目。请选择其他文件。
The selected file is the current project file	选择的文件是当前项目
The selected item is not a directory	所选项目不是目录
The selected project file appears to be corrupt and cannot be opened.	所选项目已损坏，无法打开。
The supplied license key was not recognized. Please try re-entering your license key.	无法识别许可密钥。请再次输入许可密钥。
The Web Security Academy	Web安全学院
Theme:	主题:
There appears to be a copy of Burp Infiltrator in the selected folder. Do you want to overwrite it?	所选文件夹中有Burp Infiltrator的副本。可以覆盖吗？
There's no need to configure your proxy settings manually. Use Burp's embedded Chromium browser to start testing right away.	无需手动设置代理设置。使用Burp内置Chromium浏览器，您可以立即开始测试。
Therefore some bits may record a significance level that is below the FIPS pass level even though they do not strictly fail the FIPS test.	因此，某些位可能低于FIPS合格水平，尽管未通过严格的FIPS测试。
These settings are configured within user options but can be overridden here for this specific project.	您可以通过用户选项设置这些设置，但您可以用此指定的项目覆盖这些设置。
These settings are undocumented and are not intended for general use. Any changes may have unpredictable results and break the crawler. We recommend that you only modify these settings based on advice from PortSwigger support.	这些设置不是文档化的，也不是一般用途的设置。更改可能会导致意想不到的结果，并可能会破坏履带。这些设置仅基于PortSwigger支持的建议建议更改。
These settings are used to automatically replace parts of requests and responses passing through the Proxy.	设置自动替换通过代理的部分请求和响应。
These settings are used to perform automatic modification of responses.	设置响应的自动更改。
These settings are used to specify destination web servers for which Burp will directly pass through SSL connections. No details about requests or responses made via these connections will be available in the Proxy intercept view or history.	指定直接通过SSL连接的目标Web服务器。这些连接产生的请求和响应的详细信息将无法显示在Proxy拦截和历史记录中。
These settings are used to specify destination web servers for which Burp will directly pass through TLS connections. No details about requests or responses made via these connections will be available in the Proxy intercept view or history.	指定直接通过TLS连接的目标Web服务器。这些连接产生的请求和响应的详细信息将无法显示在Proxy拦截和历史记录中。
These settings are used to specify URLs returning responses that stream indefinitely. The Proxy will pass these responses straight through to the client. Repeater will update the response panel as the response is received. Other tools will ignore streaming responses. In order to view the contents of streaming responses within Burp, you need to check the "store streaming responses" option.	指定无限返回流媒体响应的URL。Proxy让客户直接通过这些响应。Repeater将更新面板以接收到响应。其他工具忽略流媒体响应。要在Burp中查看流响应的内容，您需要检查“保存流响应”选项。
These settings can be used to enable certain SSL features that might be needed to successfully connect to some servers.	这是启用成功连接到某些服务器所需的各种SSL功能的设置。
These settings can be used to enable certain TLS features that might be needed to successfully connect to some servers.	这是启用成功连接到某些服务器所需的各种TLS功能的设置。
These settings can be used to extract useful information from responses into the attack results table.	从响应中提取有用的信息，并将其显示在攻击结果列表中。
These settings can be used to flag result items containing reflections of the submitted payload.	您可以将发送的有效载荷反射的结果项目设置为标志。
These settings can be used to flag result items containing specified expressions.	设置为包含指定正则表达式的结果设置标志。
These settings control behaviour of Burp's browser.	这些设置控制Burp浏览器的行为。
These settings control behaviour of the embedded browser.	控制内置浏览器的行为。
These settings control how Burp binds the proxy listener.	控制代理监听的绑定方式。
These settings control how Burp binds the REST API.	控制如何绑定REST API。
These settings control how Burp handles application errors (connection failures and transmission timeouts) that arise during the audit phase of the scan.	控制在扫描诊断阶段发生的应用程序错误(如连接错误和传输超时)的处理方法。
These settings control how Burp handles application errors (connection failures and transmission timeouts) that arise during the crawl phase of the scan.	控制扫描爬行阶段发生的应用程序错误(如连接错误和传输超时)的处理方法。
These settings control how Burp handles different character sets when displaying raw HTTP messages. Note that some glyphs are not supported by all fonts. If you need to use an extended or unusual character set, you should first try a system font such as Courier New or Dialog.	控制Burp如何在原始显示HTTP消息时处理不同的字符集。请注意，有些字形不受所有字体的支持。若要使用扩展或异常字符集，请先尝试Courier New或Dialog等系统字体。
These settings control how Burp handles extensions on startup.	设置启动时如何处理扩展。
These settings control how Burp handles in-tool rendering of HTML content.	在工具中渲染HTML内容的设置。
These settings control how Burp handles redirections when performing attacks.	控制执行攻击时如何处理重定向。
These settings control how Intruder handles network errors during the attack.	控制如何在攻击过程中处理网络错误。
These settings control how the crawler will interact with any login functionality, aside from any application logins that are explicitly configured for the crawl.	除了显式设置用于抓取的应用程序登录之外，您还可以控制登录功能进行哪些处理。
These settings control how the crawler will interact with any login functionality, aside from any application logins that are explicitly configured for the crawl. Note that these settings will be ignored if you are using recorded login sequences or if you have selected 'Crawl using my provided logins only'.	这些设置控制爬虫如何与任何登录功能互动，除了为爬虫明确配置的任何应用程序登录。请注意，如果您使用的是记录的登录序列，或者您选择了 "仅使用我提供的登录进行抓取"，这些设置将被忽略。
These settings control how the crawler will interact with any login functionality, aside from any application logins that are explicitly configured for the crawl. Note that these settings will be ignored if you are using recorded login sequences.	除了显式设置用于抓取的应用程序登录之外，您还可以控制登录功能进行哪些处理。如果您使用的是记录的登录步骤，则这些设置将被忽略。
These settings control how the discovery session adds file extensions to file stems that are being tested.	在搜索会话中，控制如何在文件名主体中添加和测试文件扩展名。
These settings control how the Spider submits login forms.	设置如何通过Spider发送登录表单。
These settings control how tokens are handled during analysis.	设置如何处理正在分析的令牌。
These settings control logging of HTTP requests and responses.	控制HTTP请求和响应的记录。
These settings control some specific details of Burp Proxy's behavior. You can change the default settings here to deal with particular problems or situations.	Burp 这是控制Proxy的详细行为的设置。您可以更改默认设置以解决特定问题或情况。
These settings control the behavior of Burp Scanner's JavaScript analysis.	控制Burp Scanner的JavaScript分析行为。
These settings control the engine used for making HTTP requests and harvesting tokens when performing the live capture.	设置引擎行为，以在运行实时捕捉并收集令牌时生成HTTP请求。
These settings control the engine used for making HTTP requests when discovering content.	设置用于在内容搜索时创建HTTP请求的引擎。
These settings control the engine used for making HTTP requests when doing active scanning.	设置引擎在主动扫描期间生成HTTP请求的行为。
These settings control the engine used for making HTTP requests when performing attacks.	控制用于创建正在执行攻击的HTTP请求的引擎。
These settings control the engine used for making HTTP requests when spidering.	设置引擎在循环期间生成HTTP请求的行为。
These settings control the request headers used in HTTP requests made by the Spider.	控制Spider生成的HTTP请求的标头。
These settings control the server SSL certificate that is presented to SSL clients.	控制呈现给SSL客户端的SSL服务器证书。
These settings control the server TLS certificate that is presented to TLS clients.	控制呈现给TLS客户端的TLS服务器证书。
These settings control the SSL protocols and ciphers that Burp will use when performing SSL negotiation with upstream servers. If you are experiencing problems with SSL negotiation, you can use these settings to request use of specific protocols or ciphers. Use these options with caution as misconfiguration may break all your outgoing SSL connections.	控制SSL协议和密码，当Burp与上层服务器执行SSL协商时使用。如果SSL协商出现问题，您可以将其配置为使用特定协议或密码。如果设置错误，所有向外SSL连接可能会被打破，请小心使用。
These settings control the TLS protocols and ciphers that Burp will use when performing TLS negotiation with upstream servers. If you are experiencing problems with TLS negotiation, you can use these settings to request use of specific protocols or ciphers. Use these options with caution as misconfiguration may break all your outgoing TLS connections.	控制Burp与上层服务器执行TLS协商时使用的TLS协议和密码。如果TLS协商出现问题，您可以将其设置为使用特定协议或密码。如果设置错误，所有向外TLS连接可能会被打破，请小心使用。
These settings control the TLS protocols that this proxy listener will use when performing TLS negotiation with the browser. If you are experiencing problems with TLS negotiation, you can use these settings to request use of specific protocols.	此代理程序控制用于与浏览器进行TLS协商的TLS协议。如果TLS协商遇到问题，您可以请求使用特定协议。
These settings control the types of checks performed during active scanning.	设置主动扫描期间要检查的类型。
These settings control the types of checks performed during passive scanning.	设置被动扫描期间要检查的类型。
These settings control the types of redirections that Burp will understand in situations where it is configured to follow redirections.	将Burp识别的重定向类型设置为要遵循重定向的情况。
These settings control the types of scanning that will include static analysis of executable code. Note that static analysis can consume large amounts of memory and processing, and so it may be desirable to restrict static analysis to key targets of interest.	用于静态分析可执行代码的扫描类型设置。请注意，静态分析将使用大量内存和处理器，因此希望将其仅限于感兴趣的对象执行。
These settings control the way Burp handles HTTP responses with status 100.	控制Burp如何处理状态为100的HTTP响应。
These settings control the way the Spider crawls for basic web content.	控制Web内容的基本抓取方法。
These settings control what information is captured in attack results.	设置要在攻击结果中捕获的信息。
These settings control whether and how the Spider submits HTML forms.	这些设置控制Spider如何发送HTML表单。
These settings control whether Burp redirects requests received by this listener.	控制监听器接收到的请求的重定向方法。
These settings control whether insertion points are created within nested data structures, and the maximum number of insertion points to create per request that is audited.	控制是否在嵌套的数据结构中创建插入点，以及在每个诊断请求中创建的插入点的最大数量。
These settings control whether Intruder updates the configured request headers during attacks.	控制Intruder是否在攻击期间更新设置的请求头。
These settings control which issues Burp will check for. You can select issues by scan type or individually. If you select individual issues, you can also select the detection methods that are used for some types of issues.	设置Burp要检查的项目。您可以选择扫描类型或单独的扫描项目。在选择单个项目时，您还可以选择某些项目使用的检测方法。
These settings determine whether Burp sends each outgoing request to a proxy server, or directly to the destination web server. The first rule that matches each destination host will be used. To send all traffic to a single proxy server, create a rule with * as the destination host.	设置向外请求是通过代理服务器发送还是直接发送到Web服务器。使用目标主机第一个匹配的规则。要将所有流量发送到单个代理服务器，请创建将目标主机设为*的规则。
These settings let you adjust the display position for the Inspector panel, and customize which information is shown.	这些设置允许您调整Inspector面板的显示位置，并自定义显示哪些信息。
These settings let you configure Burp to automatically carry out platform authentication to destination web servers.	设置在目标Web服务器上自动执行平台身份验证。
These settings let you configure Burp to use a SOCKS proxy. This setting is applied at the TCP level, and all outbound requests will be sent via this proxy. If you have configured rules for upstream HTTP proxy servers, then requests to upstream proxies will be sent via the SOCKS proxy configured here.	设置使用SOCKS代理。此设置适用于TCP级别，并通过此代理发送所有传输请求。如果设置了高级HTTP代理服务器，则通过此处设置的SOCKS代理发送对高级代理的请求。
These settings let you configure hotkeys for common actions. These include item-specific actions such as "Send to Repeater", global actions such as "Switch to Proxy", and in-editor actions such as "Cut" and "Undo".	您可以为一般操作设置热键。您可以设置特定于项目的操作，如“发送到Repeater”，全局操作，如“切换到Proxy”，编辑器中操作的热键，如“剪切”和“撤消”。
These settings let you configure the client SSL certificates that Burp will use when a destination host requests one. Burp will use the first certificate in the list whose host configuration matches the name of the host being contacted. You can double-click on an item to view the full details of the certificate.	设置目标主机请求客户端SSL证书时使用的证书。使用与要连接的主机的主机名匹配的列表中的第一个证书。双击项目可查看证书的详细信息。
These settings let you configure the client TLS certificates that Burp will use when a destination host requests one. Burp will use the first certificate in the list whose host configuration matches the name of the host being contacted. You can double-click on an item to view the full details of the certificate.	设置目标主机请求客户端TLS证书时使用的证书。使用与要连接的主机的主机名匹配的列表中的第一个证书。双击项目可查看证书的详细信息。
These settings let you configure the environment for executing extensions that are written in Java. If your extensions use any libraries, you can specify a folder from which libraries will be loaded.	您可以设置运行Java中描述的扩展的环境。如果扩展使用任意库，则可以指定要加载库的文件夹。
These settings let you configure the environment for executing extensions that are written in Python. To use Python extensions, you will need to download Jython, which is a Python interpreter implemented in Java.	您可以设置运行Python编写的扩展的环境。要使用Python扩展，您需要下载Jython，这是一个在Java中实现的Python解释器。
These settings let you configure the environment for executing extensions that are written in Ruby. To use Ruby extensions, you will need to download JRuby, which is a Ruby interpreter implemented in Java. Note that you can either configure the location of the JRuby JAR file here, or you can load the JAR file on startup via the Java classpath.	您可以设置运行Ruby编写的扩展的环境。要使用Ruby扩展，您需要下载JRuby，这是一个在Java中实现的Ruby解释器。您可以在这里设置JRuby的JAR文件的位置，或者在启动时从Java类路径加载JAR文件。
These settings let you configure where Burp stores its temporary files. Changes will take effect the next time Burp starts up.	Burp设定保存临时文件的地方。从下次Burp启动时开始反映。
These settings let you control how HTTP messages are displayed within the raw HTTP viewer/editor.	控制如何在原始HTTP查看器/编辑器中显示HTTP消息。
These settings let you control the appearance of Burp's user interface.	控制Burp用户界面的外观。
These settings let you control the behavior of the active scanning logic to reflect the objectives of the scan and the nature of the target application. See the detailed help for more information about each option.	您可以根据扫描的目的和目标应用程序的性质来控制主动扫描逻辑的行为。有关每个选项的详细信息，请参阅帮助。
These settings let you control the behavior of the audit logic to reflect the objectives of the audit and the nature of the target application. See the detailed help for more information about each option.	根据诊断目的和目标应用程序的性质，您可以控制诊断逻辑的行为。有关每个选项的详细信息，请参阅帮助。
These settings let you control the behavior of the crawl logic to reflect the objectives of the crawl and the nature of the application. See the detailed documentation for more information about each option.	根据诊断目的和应用程序的性质，您可以控制爬行逻辑的行为。有关每个选项的详细信息，请参阅详细文档。
These settings let you control the default search settings within the raw HTTP viewer/editor.	控制原始HTTP查看器/编辑器中的默认搜索设置。
These settings let you customize some details of the crawl.	自定义抓取详情。
These settings let you customize the default layout of the message editor.	这些设置让你自定义消息编辑器的默认布局。
These settings let you customize the layout of the Inspector panel.	这些设置允许您定制Inspector面板的布局。
These settings let you customize the Message editor, what widgets are displayed on the Inspector panel, and customise what information is shown.	这些设置可以让你自定义信息编辑器，在检查器面板上显示哪些小部件，以及自定义显示哪些信息。
These settings let you override settings defined in Project Options for this audit task. Any setting that is left blank will be set to the value defined in Project Options.	这些设置可以让你覆盖项目选项中为这个审计任务定义的设置。任何留空的设置将被设置为项目选项中定义的值。
These settings let you override settings defined in Project Options for this crawl task. Any setting that is left blank will be set to the value defined in Project Options.	这些设置可以让您覆盖在项目选项中为这个抓取任务定义的设置。任何留空的设置都将被设置为项目选项中定义的值。
These settings let you specify tasks that Burp will perform automatically at defined times or intervals.	按定义的时间或间隔设置Burp自动执行的任务。
These settings specify the timeouts to be used for various network tasks. Values are in seconds. Set an option to zero or leave it blank to never timeout that task.	指定用于各种网络任务的超时。值以秒为单位。如果任务不超时，请为0或空白。
These settings specify the timeouts to be used for various network tasks. Values are in seconds. Set an option to zero to never timeout that task.	这些设置指定了用于各种网络任务的超时时间。值的单位是秒。将一个选项设置为零，以使该任务永不超时。
This action checks whether the session is valid, by either issuing the current request or running a predefined macro (sequence of requests), and inspecting the response. If the session is invalid, you can optionally perform a further action to obtain a new valid session.	此操作通过执行当前请求或定义的宏(请求序列)并检查响应来检查会话是否有效。如果会话无效，您可以根据需要执行获取新有效会话的详细操作。
This action invokes a Burp Extension to process the current request.	此操作启动Burp扩展并处理当前请求。
This action issues the current request and then runs a further macro (sequence of requests). No further rules or actions will be applied after this action.	此操作发出当前请求，然后进一步执行宏(请求序列)。此操作后不再应用规则或操作。
This action prompts you to recover a valid session using your browser (configured to connect via Burp Proxy). The cookies set by the application will be added to the session handling cookie jar, and can also be set in the current request.	此操作打开使用浏览器恢复有效会话的提示(配置为通过Burp Proxy连接)。应用程序设置的cookie被添加到会话处理cookie jar中，也可以设置为当前请求。
This action runs a predefined macro (sequence of requests) and optionally updates parameters and cookies in the current request based on the result of the macro.	此操作执行预定义的宏(请求序列)，并根据宏的结果根据需要更新当前请求的参数和cookie。
This action runs a predefined macro (sequence of requests) and optionally updates parameters, headers and cookies in the current request based on the result of the macro.	这个动作运行一个预定义的宏（请求序列），并可选择根据宏的结果更新当前请求中的参数、头信息和cookies。请求中的参数和cookies。
This action sets a specific value in a named request header.	这个动作在一个命名的请求头中设置一个特定的值。
This action sets a specific value in a named request parameter or cookie.	此操作将指定的值设置为指定名称的请求参数或cookie。
This action updates the request with the relevant cookies from the session handling cookie jar.	此操作通过会话处理cookie jar的相关cookie更新请求。
This applies to most network transfers	适用于大多数网络通信。
This applies to responses that do not contain a Content-Length or Transfer-Encoding header	适用于没有Content-Length或Transfer-Encoding标头的响应
This attack uses a single set of payloads and one or more payload positions. It places each payload into the first position, then each payload into the second position, and so on.	使用一个有效载荷集和一个或多个有效载荷位置。将每个有效载荷放置在第一个位置，然后将写的有效载荷放置在第二个位置。
This attack uses multiple payload sets. There is a different payload set for each defined position (up to a maximum of 20). The attack iterates through all payload sets simultaneously, so it uses the first payload from each set, then the second payload from each set, and so on.	使用多个有效载荷集。对于每个位置(最多20个)使用不同的有效载荷。同时使用所有的有效负载集，首先使用每个集的第一个有效负载，然后使用写集的第二个有效负载。
This attack uses multiple payload sets. There is a different payload set for each defined position (up to a maximum of 20). The attack iterates through each payload set in turn, so that all permutations of payload combinations are tested.	使用多个有效载荷集。对于每个位置(最多20个)使用不同的有效载荷。攻击重复每个有效载荷，以测试有效载荷的所有组合。
This can be changed using the inspector.	这可以在Inspector中更改。
This feature can be used to prevent Burp from issuing any out-of-scope requests, including those made via the proxy.	防止由于请求超出范围而出现的问题，包括通过Proxy发生的问题。
This file already exists. Are you sure?	文件已经存在。可以吗？
This function allows you to load Sequencer with a sample of tokens that you have already obtained, and then perform the statistical analysis on the sample.	您可以让Sequencer加载已经获取的令牌样本，并对样本进行统计分析。
This function lets you do a word- or byte-level comparison between different data. You can load, paste, or send data here from other tools and then select the comparison you want to perform.	比较不同数据之间的单词或字节级别。加载，粘贴数据，从其他工具发送到这里，并选择您想要执行的比较。
This function sends common test payloads to random URLs and parameters at irregular intervals, to generate traffic similar to that caused by manual penetration testing. Its only real use is to let you take a break from testing while still looking busy according to the server's logs. Only items which you selected in the site map will be requested.	该功能将常见测试有效载荷以不规则间隔发送到随机URL和参数，并生成在手动嵌套测试中发生的流量。这个功能的唯一现实使用方法是在服务器上留下像是在努力测试一样的日志，同时休息一段时间。只有在站点地图中选择的项目才会发送请求。
This is the timeout after which failed DNS lookups are repeated	在重复失败的DNS名称解析之前超时
This is the timeout after which successful DNS lookups expire	在成功的DNS名称解析过期之前超时
This item is outside the current spidering scope. Would you like to modify the scope to include the item?	这个项目不在当前的巡视范围内。修改范围以包含此项目？
This item is outside the current target scope. Are you sure you want to perform an active scan?	此项目不在当前范围内。可以进行主动扫描吗？
This listing contains the definitions of all issues that can be detected by Burp Scanner.	Burp Scanner可以检测到的所有问题的定义列表。
This macro is being used by a session handling rule and cannot be deleted.	该宏不能被删除，因为它是在会话处理规则中使用的。
This may take a while depending on the size of your attack.	根据攻击的规模，可能需要时间。
This might take an excessive time to perform a complete crawl	完全抓取需要花费大量的时间。
This panel shows a list of the unique SSL certificates received from web servers. Double-click an item to show the full details of the certificate.	此面板显示从Web服务器接收的唯一SSL证书。要查看证书的详细信息，请双击项目。
This panel shows a list of the unique TLS certificates received from web servers. Double-click an item to show the full details of the certificate.	此面板显示从Web服务器接收的唯一TLS证书。要查看证书的详细信息，请双击项目。
This payload type can be used to generate illegal Unicode representations of characters. It is sometimes effective in bypassing filters designed to block certain characters. See the full help for details of each option.	生成非法Unicode符号的字符串。这可能有助于避免过滤器被设计为阻止特定字符。有关每个选项的详细信息，请参阅帮助。
This payload type can be used to shuffle blocks of ciphertext in ECB-encrypted data, so as to meaningfully modify the decrypted cleartext and potentially interfere with application logic. You can optionally supply a list of encrypted strings that use the same cipher and key, to provide additional blocks for shuffling into the original data.	重新排列ECB加密数据的密文块可能会在解密时变成有意义的明文，并导致应用逻辑变得不稳定。如果需要，您可以使用相同的加密和密钥指定加密字符串的列表，并将其用作原始数据中的混洗附加块。
This payload type copies the value of the current payload at another payload position. It can be used with attack types that have multiple payload sets.	该有效载荷类型将另一个有效载荷的值复制到当前有效载荷值。可用于使用多个有效载荷集的攻击类型。
This payload type generates date payloads within a given range and in a specified format.	在给定范围内生成指定格式的日期有效载荷。
This payload type generates numeric payloads within a given range and in a specified format.	在给定范围内生成指定格式的数字有效载荷。
This payload type generates payloads based on blocks of a specified character or string. It can be useful for detecting buffer overflows and exploiting some logic flaws.	生成基于指定字符或字符串块的有效载荷。它对检测缓冲区溢出和攻击逻辑流很有用。
This payload type generates payloads of specified lengths that contain all permutations of a specified character set.	从指定的长度和字符集生成所有组合的有效载荷。
This payload type generates payloads whose value is an empty string. With no payload markers configured, this can be used to repeatedly issue the base request unmodified.	生成有效负载值为空的字符串。无需设置有效载荷标记，可以在不改变基本请求的情况下重复发送。
This payload type invokes a Burp extension to generate payloads.	执行Burp扩展以创建有效载荷。
This payload type lets you configure a file from which to read payload strings at runtime.	您可以设置在运行时读取有效载荷字符串的文件。
This payload type lets you configure a list of names or email addresses, and derives potential usernames from these using various common schemes. You can enter items as "firstname lastname" or "firstname.lastname@example.org".	您可以在“名姓”或“名.姓@example.org”中输入项目。您可以设置名称和电子邮件地址列表，然后使用常见的生成规则生成各种潜在的用户名：“名姓”或“名.姓@example.org”。
This payload type lets you configure a list of strings and apply various case modifications to each item.	您可以设置字符串列表以及如何更改应用于每个项目的大小写。
This payload type lets you configure a list of strings and apply various character substitutions to each item.	您可以设置字符串列表和应用于每个项目的各种字符替换。
This payload type lets you configure a simple list of strings that are used as payloads.	设置用于有效载荷的字符串的简单列表。
This payload type lets you configure multiple lists of items, and generate payloads using all permutations of items in the lists.	您可以设置多个项目列表，并通过组合列表中的所有项目来生成有效载荷。
This payload type lets you extract each payload from the response to the previous request in the attack. It is useful in some situations where you need to work recursively to extract useful data or deliver an exploit. Extract grep items can be defined in the Options tab.	此有效载荷类型从先前攻击请求的响应中提取有效载荷。在需要递归提取有用数据或交付漏洞的情况下很有用。您可以在“选项”选项卡中定义提取grep项目。
This payload type operates on a string input and modifies the value of each character position in turn. It is useful to quickly test which parts of a long string have an effect on the application's processing.	该有效载荷类型会对输入字符串按顺序更改每个位置的字符。这对于快速测试长字符串的任何部分影响应用程序的处理很有用。
This payload type operates on an input and modifies the value of each bit position in turn. It can sometimes be used to meaningfully modify the decrypted values of CBC-encrypted data, and potentially interfere with application logic.	该有效载荷类型将按顺序改变输入值的每个位位置的值。您可能会对CBC加密数据进行有意义的更改，或可用于潜在干扰应用程序逻辑。
This project file has been accessed by a more recent version of Burp. Some data may not be not be displayed or may be incomplete.	该项目文件访问更新版本的Burp。某些数据可能不显示或不完整。
This project file was created by a different installation of Burp. You need to decide whether to take full ownership of the project.	这个项目文件是在其他Burp中创建的。您需要选择或决定项目的完整所有权。
This request contains a kettled HTTP/2 request.	这个要求包含了严格的HTTP/2请求。
This request is kettled because:	这一请求被搁置的原因是:
This setting allows you to save your attack to the current project file. The attack will then be available from the Dashboard whenever you open this project.	您可以将攻击保存到当前项目文件中。打开此项目后，您可以从仪表板中使用攻击。
This setting can be used to URL-encode selected characters within the final payload, for safe transmission within HTTP requests.	这是对最终有效载荷的指定字符进行URL编码的设置，以便安全地发送HTTP请求。
This setting controls Burp's update behavior.	控制Burp的更新行为。
This setting controls Burp's use of HTTP/1 keep-alive for outbound connections.	这个设置控制Burp对出站连接使用HTTP/1 keep-alive的情况。
This setting controls Burp's use of the HTTP/2 protocol for both inbound and outbound connections over TLS.	控制是否使用HTTP/2来发送和接收TLS。
This setting controls Burp's use of the HTTP/2 protocol for outbound connections over TLS.	这个设置控制Burp对通过TLS的出站连接使用HTTP/2协议。
This setting controls how Burp handles extensions on startup.	控制Burp启动时扩展的处理方法。
This setting controls the default state of the "Pause automated tasks" option on the startup wizard.	此设置控制启动向导上“暂停自动任务”选项的默认状态。
This setting controls the state of proxy interception at startup.	启动时设置代理拦截状态。
This setting controls whether adding items to Target scope will automatically set the Proxy option to stop sending out-of-scope items to the history or other Burp tools.	设置是否自动添加Proxy选项，以便在将项目添加到目标范围时，不要将项目发送到历史记录或其他Burp工具。
This setting enables use of the HTTP/2 protocol by the listener.	这个设置允许监听器使用HTTP/2协议。
This strategy applies some optimizations to the coverage of the crawl, with some loss of speed in some applications. It is appropriate for applications with volatile or overloaded URLs, or more complex stateful functionality than normal.	该策略对抓取的完整性应用了一些优化，但在某些应用中会失去速度。它适用于挥发性或高负载URL应用程序，以及具有比通常更复杂的状态功能的应用程序。
This strategy applies some optimizations to the speed of the crawl, with some loss of coverage in some applications. It is appropriate for applications that use mostly stable and unique URLs, and only limited or simple stateful functionality.	该策略对抓取速度应用了一些优化，但在某些应用中失去了完整性。适用于大多数独特、稳定且只有有限或简单的有状态功能的情况。
This strategy optimizes as far as possible for the coverage of the crawl, at the expense of speed in most applications. It is appropriate to achieve strong coverage of applications with highly volatile or overloaded URLs or heavily complex stateful functionality.	该策略尽可能优化抓取的完整性，但在大多数应用中速度都会降低。适用于高挥发性网址和高负载网址，以及强大覆盖非常复杂的有状态功能的情况。
This strategy optimizes as far as possible for the speed of the crawl, at the expense of lower coverage in many applications. It is appropriate for applications with stable and unique URLs, and no stateful functionality (e.g. authentication). Cookies from the Cookie Jar will be used as initial values.	这种策略尽可能地优化了爬行的速度，在许多应用中以降低覆盖率为代价。它适合于具有稳定和独特的URL，并且没有状态功能（如认证）的应用程序。Cookie Jar中的Cookie将被用作初始值。
This strategy optimizes as far as possible for the speed of the crawl, at the expense of lower coverage in many applications. It is appropriate for applications with stable and unique URLs, and no stateful functionality.	该策略尽可能优化爬行速度，但在许多应用中降低了完整性。适用于URL独特、稳定且无状态功能的应用程序。
This strategy represents a trade-off between coverage and speed that is appropriate for typical applications.	该策略在一般应用中实现了全面和速度的平衡。
This test analyzes the distribution of characters used at each position within the token. If the sample is randomly generated, the distribution of characters employed is likely to be approximately uniform. At each position, the test computes the probability of the observed distribution arising if the tokens are random. The significance level at each position is the probability of the observed distribution of characters occurring, assuming that the sample is randomly generated.	分析标记中每个位置使用的字符分布。如果样本是随机生成的，则使用的字符分布应该基本均匀。在此测试中，我们将计算每个位置的分布概率，如果令牌是随机的，则应该观察到。如果假设样本是随机生成的，则每个位置的显著水平是观察到发生的字符分布的概率。
This test analyzes the distribution of ones and zeroes at each bit position. If the sample is randomly generated, the number of ones and zeroes is likely to be approximately equal. At each position, the test computes the probability of the observed distribution arising if the tokens are random. The significance level at each position is the probability of the observed number of ones and zeroes occurring, assuming that the sample is randomly generated.	分析1和0在每个位位置的分布。如果样本是随机生成的，那么1和0的分布应该几乎是均匀的。在此测试中，我们将计算每个位置的分布概率，如果令牌是随机的，则应该观察到。如果假设样本是随机生成的，则每个位置的显著水平是观察到0和1发生的数量的概率。
This test analyzes the relationships between bits at different positions within the token. If the sample is randomly generated, a value at a given bit position is equally likely to be accompanied by a one or a zero at any other bit position. At each position, the test computes the probability of the relationships observed with bits at other positions arising if the tokens are random. To prevent arbitrary results, when a degree of correlation is observed between two bits, the test adjusts the significance level of the bit whose significance level is lower based on all of the other bit-level tests.	此测试分析令牌中不同位置的位之间的关系。如果样本是随机生成的，则特定位的值应该与其他位位置变为0或1的概率大致相等。测试计算在每个位置，如果令牌是随机的，所观察到的其他位置的位的概率。如果观察到2位之间的相关性，以防止任意结果，其他位电平测试调整位显著水平较低的位的显著水平。
This test analyzes the transitions between successive tokens in the sample. If the sample is randomly generated, a character appearing at a given position is equally likely to be followed in the next token by any one of the characters that is used at that position. At each position, the test computes the probability of the observed transitions arising if the tokens are random. The significance level at each position is the probability of the observed transitions occurring, assuming that the sample is randomly generated.	分析样品中连续令牌之间的过渡。如果样本是随机生成的，那么对于出现在某个位置的字符，无论过去在相同位置使用的字符是什么，在下一个令牌中也出现在相同位置的概率应该是相同的。在此测试中，我们将计算每个位置的迁移概率，如果令牌是随机的，则应该观察到。每个位置的显著水平是在假设样本是随机生成的情况下，观察到发生的过渡的概率。
This test attempts to compress the bit sequence at each position using standard ZLIB compression. The results indicate the proportional reduction in the size of the bit sequence when it was compressed. A higher degree of compression indicates that the data is less likely to be randomly generated.	此测试尝试使用标准ZLIB压缩压缩每个位置的位串。压缩后，位串的大小会按比例减小。高压缩比表示数据不是随机生成的。
